timestamp,temperature_c,humidity_pct,pressure_hpa,rainfall_mm
31h 10m 3s,13.4,37.7,990.8,0.0000
31h 15m 3s,13.3,37.4,990.8,0.0000
31h 20m 3s,13.3,37.3,990.8,0.0000
31h 25m 3s,13.0,37.5,990.8,0.0000
31h 30m 3s,13.1,37.0,990.8,0.0000
31h 35m 3s,13.0,37.3,990.8,0.0000
31h 40m 3s,13.0,36.9,990.8,0.0000
31h 45m 3s,12.9,36.6,990.8,0.0000
31h 50m 3s,12.9,36.6,990.9,0.0000
31h 55m 3s,12.8,36.7,990.8,0.0000
32h 0m 3s,12.8,36.3,990.9,0.0000
32h 5m 3s,12.8,35.8,990.8,0.0000
32h 10m 3s,12.6,35.9,990.8,0.0000
32h 15m 4s,12.5,37.8,990.7,0.0000
32h 20m 4s,12.6,36.3,990.7,0.0000
32h 25m 4s,12.4,36.9,990.6,0.0000
32h 30m 4s,12.4,36.4,990.6,0.0000
32h 35m 4s,12.3,36.7,990.5,0.0000
32h 40m 4s,12.3,36.5,990.6,0.0000
32h 45m 4s,12.3,36.7,990.6,0.0000
32h 50m 4s,12.3,36.8,990.6,0.0000
32h 55m 4s,12.3,36.9,990.6,0.0000
33h 0m 4s,12.3,37.3,990.5,0.0000
33h 5m 4s,12.4,37.3,990.6,0.0000
33h 10m 4s,12.4,36.8,990.6,0.0000
33h 15m 4s,12.3,37.5,990.5,0.0000
33h 20m 4s,12.4,37.3,990.5,0.0000
33h 25m 4s,12.2,37.4,990.5,0.0000
33h 30m 4s,12.4,37.3,990.5,0.0000
33h 35m 4s,12.3,37.2,990.6,0.0000
33h 40m 4s,12.3,37.2,990.6,0.0000
33h 45m 4s,12.1,37.6,990.6,0.0000
33h 50m 4s,12.1,38.0,990.5,0.0000
33h 55m 4s,12.0,38.6,990.4,0.0000
34h 0m 4s,12.0,38.6,990.4,0.0000
34h 5m 4s,12.0,39.2,990.3,0.0000
34h 10m 4s,11.9,38.8,990.2,0.0000
34h 15m 4s,11.9,39.1,990.1,0.0000
34h 20m 4s,11.8,39.8,990.0,0.0000
34h 25m 4s,11.8,39.9,990.0,0.0000
34h 30m 4s,11.7,39.6,990.0,0.0000
34h 35m 4s,11.5,40.7,990.1,0.0000
34h 40m 4s,11.3,41.3,990.0,0.0000
34h 45m 4s,11.1,42.3,989.9,0.0000
34h 50m 4s,11.0,43.1,989.8,0.0000
34h 55m 4s,10.9,43.2,989.9,0.0000
